gene_entry,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Eif5b,Q05D44,IF2P_MOUSE,reviewed,Eukaryotic translation initiation factor 5B (eIF-5B) (EC 3.6.5.3) (Translation initiation factor IF-2),Eif5b If2,Mus musculus (Mouse),1216
Elf1,P52801,EFNA2_MOUSE,reviewed,Ephrin-A2 (CEK7-ligand) (CEK7-L) (ELF-1) (EPH-related receptor tyrosine kinase ligand 6) (LERK-6),Efna2 Elf1 Epl6 Eplg6 Lerk6,Mus musculus (Mouse),209
Elf1,Q60775,ELF1_MOUSE,reviewed,ETS-related transcription factor Elf-1 (E74-like factor 1),Elf1,Mus musculus (Mouse),612
Elf2,P52800,EFNB2_MOUSE,reviewed,Ephrin-B2 (ELF-2) (EPH-related receptor tyrosine kinase ligand 5) (LERK-5) (HTK ligand) (HTK-L),Efnb2 Elf2 Epl5 Eplg5 Htkl Lerk5,Mus musculus (Mouse),336
Elf2,Q9JHC9,ELF2_MOUSE,reviewed,ETS-related transcription factor Elf-2 (E74-like factor 2) (New ETS-related factor),Elf2 Nerf,Mus musculus (Mouse),593
Elf3,Q3UPW2,ELF3_MOUSE,reviewed,ETS-related transcription factor Elf-3 (E74-like factor 3) (Epithelial-restricted with serine box) (Epithelium-restricted Ets protein ESX) (Epithelium-specific Ets transcription factor 1) (ESE-1),Elf3 Ert Esx Jen,Mus musculus (Mouse),391
Elf4,Q9Z2U4,ELF4_MOUSE,reviewed,ETS-related transcription factor Elf-4 (E74-like factor 4) (Myeloid Elf-1-like factor),Elf4 Mef,Mus musculus (Mouse),655
Elk4,P41158,ELK4_MOUSE,reviewed,ETS domain-containing protein Elk-4 (Serum response factor accessory protein 1) (SAP-1) (SRF accessory protein 1),Elk4 Sap1,Mus musculus (Mouse),430
Ell2,Q3UKU1,ELL2_MOUSE,reviewed,RNA polymerase II elongation factor ELL2,Ell2,Mus musculus (Mouse),639
Eln,P54320,ELN_MOUSE,reviewed,Elastin (Tropoelastin),Eln,Mus musculus (Mouse),860
Emd,O08579,EMD_MOUSE,reviewed,Emerin,Emd Sta,Mus musculus (Mouse),259
Emp1,P47801,EMP1_MOUSE,reviewed,Epithelial membrane protein 1 (EMP-1) (Tumor-associated membrane protein),Emp1 Tmp,Mus musculus (Mouse),160
Enc1,O35709,ENC1_MOUSE,reviewed,Ectoderm-neural cortex protein 1 (ENC-1),Enc1 Enc-1,Mus musculus (Mouse),589
Eno1,P17182,ENOA_MOUSE,reviewed,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 1) (Non-neural enolase) (NNE),Eno1 Eno-1,Mus musculus (Mouse),434
Enox2,Q8R0Z2,ENOX2_MOUSE,reviewed,Ecto-NOX disulfide-thiol exchanger 2 (APK1 antigen) (Cytosolic ovarian carcinoma antigen 1) (Tumor-associated hydroquinone oxidase) (tNOX) [Includes: Hydroquinone [NADH] oxidase (EC 1.-.-.-); Protein disulfide-thiol oxidoreductase (EC 1.-.-.-)],Enox2 Cova1,Mus musculus (Mouse),598
Enpp4,Q8BTJ4,ENPP4_MOUSE,reviewed,Bis(5'-adenosyl)-triphosphatase enpp4 (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Ectonucleotide pyrophosphatase/phosphodiesterase family member 4) (E-NPP 4) (NPP-4),Enpp4 Kiaa0879,Mus musculus (Mouse),456
Ep400,Q8CHI8,EP400_MOUSE,reviewed,E1A-binding protein p400 (EC 3.6.4.-) (Domino homolog) (mDomino) (p400 kDa SWI2/SNF2-related protein),Ep400 Kiaa1498,Mus musculus (Mouse),3072
Epas1,P97481,EPAS1_MOUSE,reviewed,Endothelial PAS domain-containing protein 1 (EPAS-1) (HIF-1-alpha-like factor) (HLF) (mHLF) (HIF-related factor) (HRF) (Hypoxia-inducible factor 2-alpha) (HIF-2-alpha) (HIF2-alpha),Epas1 Hif2a,Mus musculus (Mouse),874
Epb41l2,O70318,E41L2_MOUSE,reviewed,Band 4.1-like protein 2 (Generally expressed protein 4.1) (4.1G),Epb41l2 Epb4.1l2,Mus musculus (Mouse),988
Epb41l4b,Q9JMC8,E41LB_MOUSE,reviewed,Band 4.1-like protein 4B (Protein EHM2),Epb41l4b Ehm2 Epb4.1l4b Lulu2,Mus musculus (Mouse),527
Epc1,Q8C9X6,EPC1_MOUSE,reviewed,Enhancer of polycomb homolog 1,Epc1,Mus musculus (Mouse),813
Epha2,Q03145,EPHA2_MOUSE,reviewed,Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK) (Tyrosine-protein kinase receptor MPK-5) (Tyrosine-protein kinase receptor SEK-2),Epha2 Eck Myk2 Sek2,Mus musculus (Mouse),977
Epha4,Q03137,EPHA4_MOUSE,reviewed,Ephrin type-A receptor 4 (EC 2.7.10.1) (Tyrosine-protein kinase receptor MPK-3) (Tyrosine-protein kinase receptor SEK-1),Epha4 Sek Sek1,Mus musculus (Mouse),986
Ephb2,P54763,EPHB2_MOUSE,reviewed,Ephrin type-B receptor 2 (EC 2.7.10.1) (Neural kinase) (Nuk receptor tyrosine kinase) (Tyrosine-protein kinase receptor EPH-3) (Tyrosine-protein kinase receptor SEK-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2],Ephb2 Epth3 Nuk Sek3,Mus musculus (Mouse),986
Ephb3,P54754,EPHB3_MOUSE,reviewed,Ephrin type-B receptor 3 (EC 2.7.10.1) (Developmental kinase 5) (mDK-5) (Tyrosine-protein kinase receptor SEK-4),Ephb3 Etk2 Mdk5 Sek4,Mus musculus (Mouse),993
Epn1,Q80VP1,EPN1_MOUSE,reviewed,Epsin-1 (EPS-15-interacting protein 1) (Intersectin-EH-binding protein 1) (Ibp1),Epn1,Mus musculus (Mouse),575
Eppk1,Q8R0W0,EPIPL_MOUSE,reviewed,Epiplakin,Eppk1 EPPK,Mus musculus (Mouse),6548
Eprs,Q8CGC7,SYEP_MOUSE,reviewed,Bifunctional glutamate/proline--tRNA ligase (Bifunctional aminoacyl-tRNA synthetase) [Includes: Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS); Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS)],Eprs Qprs,Mus musculus (Mouse),1512
Eps15,P42567,EPS15_MOUSE,reviewed,Epidermal growth factor receptor substrate 15 (Protein Eps15) (Protein AF-1p),Eps15,Mus musculus (Mouse),897
Eps15l1,Q60902,EP15R_MOUSE,reviewed,Epidermal growth factor receptor substrate 15-like 1 (Epidermal growth factor receptor pathway substrate 15-related sequence) (Eps15-rs) (Eps15-related protein) (Eps15R),Eps15l1 Eps15-rs Eps15R,Mus musculus (Mouse),907
Eps8,Q08509,EPS8_MOUSE,reviewed,Epidermal growth factor receptor kinase substrate 8,Eps8,Mus musculus (Mouse),821
Eps8l3,Q91WL0,ES8L3_MOUSE,reviewed,Epidermal growth factor receptor kinase substrate 8-like protein 3 (EPS8-like protein 3) (Epidermal growth factor receptor pathway substrate 8-related protein 3) (EPS8-related protein 3),Eps8l3 Eps8r3,Mus musculus (Mouse),600
Erap1,Q9EQH2,ERAP1_MOUSE,reviewed,Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (VEGF-induced aminopeptidase),Erap1 Appils Arts1,Mus musculus (Mouse),930
Erbb2,P70424,ERBB2_MOUSE,reviewed,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (p185erbB2) (CD antigen CD340),Erbb2 Kiaa3023 Neu,Mus musculus (Mouse),1256
Erbb2ip,Q80TH2,ERBIN_MOUSE,reviewed,Erbin (Densin-180-like protein) (Erbb2-interacting protein) (Protein LAP2),Erbin Erbb2ip Kiaa1225 Lap2,Mus musculus (Mouse),1402
Erbb3,Q61526,ERBB3_MOUSE,reviewed,Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Glial growth factor receptor) (Proto-oncogene-like protein c-ErbB-3),Erbb3,Mus musculus (Mouse),1339
Erc1,Q99MI1,RB6I2_MOUSE,reviewed,ELKS/Rab6-interacting/CAST family member 1 (ERC-1) (CAZ-associated structural protein 2) (CAST2) (Rab6-interacting protein 2),Erc1 Cast2 Kiaa1081 Rab6ip2,Mus musculus (Mouse),1120
Ercc3,P49135,ERCC3_MOUSE,reviewed,General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB) (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH 89 kDa subunit) (Xeroderma pigmentosum group B-complementing protein),Ercc3 Xpb Xpbc,Mus musculus (Mouse),783
Ercc4,Q9QZD4,XPF_MOUSE,reviewed,DNA repair endonuclease XPF (EC 3.1.-.-) (DNA excision repair protein ERCC-4),Ercc4,Mus musculus (Mouse),917
Ereg,Q61521,EREG_MOUSE,reviewed,Proepiregulin [Cleaved into: Epiregulin (EPR)],Ereg,Mus musculus (Mouse),162
Ergic1,Q9DC16,ERGI1_MOUSE,reviewed,Endoplasmic reticulum-Golgi intermediate compartment protein 1 (ER-Golgi intermediate compartment 32 kDa protein) (ERGIC-32),Ergic1 Ergic32,Mus musculus (Mouse),290
Ergic3,Q9CQE7,ERGI3_MOUSE,reviewed,Endoplasmic reticulum-Golgi intermediate compartment protein 3 (Serologically defined breast cancer antigen NY-BR-84 homolog),Ergic3 Erv46 Sdbcag84,Mus musculus (Mouse),383
Eri3,Q8C460,ERI3_MOUSE,reviewed,ERI1 exoribonuclease 3 (EC 3.1.-.-) (Prion interactor 1) (Prion protein-interacting protein),Eri3 Pint1 Prnpip Prnpip1,Mus musculus (Mouse),337
Erlin2,Q8BFZ9,ERLN2_MOUSE,reviewed,Erlin-2 (Endoplasmic reticulum lipid raft-associated protein 2) (Stomatin-prohibitin-flotillin-HflC/K domain-containing protein 2) (SPFH domain-containing protein 2),Erlin2 Spfh2,Mus musculus (Mouse),340
Ern2,Q9Z2E3,ERN2_MOUSE,reviewed,Serine/threonine-protein kinase/endoribonuclease IRE2 (Endoplasmic reticulum-to-nucleus signaling 2) (Inositol-requiring protein 2) (Ire1-beta) (IRE1b) (mIre1) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],Ern2 Ire2,Mus musculus (Mouse),911
Ero1l,Q8R180,ERO1A_MOUSE,reviewed,ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase alpha) (Endoplasmic reticulum oxidoreductin-1-like protein) (Oxidoreductin-1-L-alpha),Ero1a Ero1l,Mus musculus (Mouse),464
Erp29,P57759,ERP29_MOUSE,reviewed,Endoplasmic reticulum resident protein 29 (ERp29),Erp29,Mus musculus (Mouse),262
Errfi1,Q99JZ7,ERRFI_MOUSE,reviewed,ERBB receptor feedback inhibitor 1 (Mitogen-inducible gene 6 protein homolog) (MIG-6),Errfi1 Mig6,Mus musculus (Mouse),461
Esrp1,Q3US41,ESRP1_MOUSE,reviewed,Epithelial splicing regulatory protein 1 (RNA-binding motif protein 35A) (RNA-binding protein 35A),Esrp1 Rbm35a,Mus musculus (Mouse),680
Esrrg,P62509,ERR3_MOUSE,reviewed,Estrogen-related receptor gamma (Estrogen receptor-related protein 3) (Nuclear receptor subfamily 3 group B member 3),Esrrg Err3 Kiaa0832 Nr3b3,Mus musculus (Mouse),458
Esyt2,Q3TZZ7,ESYT2_MOUSE,reviewed,Extended synaptotagmin-2 (E-Syt2),Esyt2 D12Ertd551e Fam62b,Mus musculus (Mouse),845
Etf1,Q8BWY3,ERF1_MOUSE,reviewed,Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1),Etf1,Mus musculus (Mouse),437
Ethe1,Q9DCM0,ETHE1_MOUSE,reviewed,"Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1 homolog) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)",Ethe1 Hsco,Mus musculus (Mouse),254
Etl4,A2AQ25,SKT_MOUSE,reviewed,Sickle tail protein (Enhancer trap locus 4),Skt Etl4 Kiaa1217,Mus musculus (Mouse),1946
Etnk1,Q9D4V0,EKI1_MOUSE,reviewed,Ethanolamine kinase 1 (EKI 1) (EC 2.7.1.82),Etnk1 Eki1,Mus musculus (Mouse),363
Ets2,P15037,ETS2_MOUSE,reviewed,Protein C-ets-2,Ets2,Mus musculus (Mouse),468
Etv4,P28322,ETV4_MOUSE,reviewed,ETS translocation variant 4 (Polyomavirus enhancer activator 3) (Protein PEA3),Etv4 Pea-3 Pea3,Mus musculus (Mouse),485
Etv6,P97360,ETV6_MOUSE,reviewed,Transcription factor ETV6 (ETS translocation variant 6) (ETS-related protein Tel1) (Tel),Etv6 Tel Tel1,Mus musculus (Mouse),485
Evpl,Q9D952,EVPL_MOUSE,reviewed,Envoplakin (210 kDa cornified envelope precursor protein) (p210),Evpl,Mus musculus (Mouse),2035
Evx1,P23683,EVX1_MOUSE,reviewed,Homeobox even-skipped homolog protein 1 (EVX-1),Evx1,Mus musculus (Mouse),416
Ewsr1,Q61545,EWS_MOUSE,reviewed,RNA-binding protein EWS,Ewsr1 Ews Ewsh,Mus musculus (Mouse),655
Exoc4,O35382,EXOC4_MOUSE,reviewed,Exocyst complex component 4 (Exocyst complex component Sec8),Exoc4 Sec8 Sec8l1,Mus musculus (Mouse),975
Exoc5,Q3TPX4,EXOC5_MOUSE,reviewed,Exocyst complex component 5 (Exocyst complex component Sec10),Exoc5 Sec10l1,Mus musculus (Mouse),708
Exoc6b,A6H5Z3,EXC6B_MOUSE,reviewed,Exocyst complex component 6B (Exocyst complex component Sec15B) (SEC15-like protein 2),Exoc6b Sec15b Sec15l2,Mus musculus (Mouse),810
Exph5,Q0VAV2,EXPH5_MOUSE,reviewed,Exophilin-5 (Synaptotagmin-like protein homolog lacking C2 domains b) (SlaC2-b) (Slp homolog lacking C2 domains b),Exph5 Kiaa0624 Slac2b,Mus musculus (Mouse),1960
Ext1,P97464,EXT1_MOUSE,reviewed,Exostosin-1 (EC 2.4.1.224) (EC 2.4.1.225) (Glucuronosyl-N-acetylglucosaminyl-proteoglycan/N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Multiple exostoses protein 1 homolog),Ext1,Mus musculus (Mouse),746
Extl2,Q9ES89,EXTL2_MOUSE,reviewed,"Exostosin-like 2 (EC 2.4.1.223) (Alpha-1,4-N-acetylhexosaminyltransferase EXTL2) (Alpha-GalNAcT EXTL2) (EXT-related protein 2) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase)",Extl2 Extr2,Mus musculus (Mouse),330
Ezh2,Q61188,EZH2_MOUSE,reviewed,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.43) (ENX-1) (Enhancer of zeste homolog 2),Ezh2 Enx1h,Mus musculus (Mouse),746
Ezr,P26040,EZRI_MOUSE,reviewed,Ezrin (Cytovillin) (Villin-2) (p81),Ezr Vil2,Mus musculus (Mouse),586
F11r,O88792,JAM1_MOUSE,reviewed,Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (CD antigen CD321),F11r Jam1 Jcam Jcam1,Mus musculus (Mouse),300
F2rl1,P55086,PAR2_MOUSE,reviewed,Proteinase-activated receptor 2 (PAR-2) (Coagulation factor II receptor-like 1) (G-protein coupled receptor 11) (Thrombin receptor-like 1),F2rl1 Gpcr11 Gpr11 Par2,Mus musculus (Mouse),399
F3,P20352,TF_MOUSE,reviewed,Tissue factor (TF) (Coagulation factor III) (CD antigen CD142),F3 Cf-3 Cf3,Mus musculus (Mouse),294
Fabp2,P55050,FABPI_MOUSE,reviewed,"Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)",Fabp2 Fabpi,Mus musculus (Mouse),132
Faf1,P54731,FAF1_MOUSE,reviewed,FAS-associated factor 1,Faf1,Mus musculus (Mouse),649
Faf2,Q3TDN2,FAF2_MOUSE,reviewed,FAS-associated factor 2 (UBX domain-containing protein 8),Faf2 Kiaa0887 Ubxd8,Mus musculus (Mouse),445
Fam102a,Q78T81,F102A_MOUSE,reviewed,Protein FAM102A,Fam102a,Mus musculus (Mouse),392
Fam110c,Q8VE94,F110C_MOUSE,reviewed,Protein FAM110C,Fam110c,Mus musculus (Mouse),421
Fam117b,Q3U3E2,F117B_MOUSE,reviewed,Protein FAM117B (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 13 protein homolog),Fam117b Als2cr13,Mus musculus (Mouse),584
Fam120a,Q6A0A9,F120A_MOUSE,reviewed,Constitutive coactivator of PPAR-gamma-like protein 1 (Oxidative stress-associated Src activator) (Protein FAM120A),FAM120A Kiaa0183 Ossa,Mus musculus (Mouse),1112
Fam120c,Q8C3F2,F120C_MOUSE,reviewed,Constitutive coactivator of PPAR-gamma-like protein 2 (Protein FAM120C),Fam120c ORF34,Mus musculus (Mouse),1091
Fam129a,Q3UW53,NIBA1_MOUSE,reviewed,Protein Niban 1 (Protein FAM129A) (Protein Niban),Niban1 Fam129a Niban,Mus musculus (Mouse),926
Fam129b,Q8R1F1,NIBA2_MOUSE,reviewed,Protein Niban 2 (Meg-3) (Niban-like protein 1) (Protein FAM129B),Niban2 Fam129b,Mus musculus (Mouse),749
Fam136a,Q9CR98,F136A_MOUSE,reviewed,Protein FAM136A,Fam136a,Mus musculus (Mouse),138
Fam13b,Q8K2H3,FA13B_MOUSE,reviewed,Protein FAM13B,Fam13b Fam13b1,Mus musculus (Mouse),851
Fam160a1,Q505K2,F16A1_MOUSE,reviewed,Protein FAM160A1,Fam160a1,Mus musculus (Mouse),1081
Fam160b1,Q8CDM8,F16B1_MOUSE,reviewed,Protein FAM160B1,Fam160b1 Kiaa1600,Mus musculus (Mouse),764
Fam160b2,Q80YR2,F16B2_MOUSE,reviewed,Protein FAM160B2 (Retinoic acid-induced protein 16),Fam160b2 Rai16,Mus musculus (Mouse),744
Fam162a,Q9D6U8,F162A_MOUSE,reviewed,Protein FAM162A (E2-induced gene 5 protein homolog) (Growth and transformation-dependent protein) (HGTD-P),Fam162a E2ig5,Mus musculus (Mouse),155
Fam168b,Q80XQ8,F168B_MOUSE,reviewed,Myelin-associated neurite-outgrowth inhibitor (Mani),Fam168b Kiaa4042,Mus musculus (Mouse),194
Fam188a,Q9CV28,MINY3_MOUSE,reviewed,Ubiquitin carboxyl-terminal hydrolase MINDY-3 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-3) (Protein CARP),MINDY3 Carp Fam188a,Mus musculus (Mouse),444
Fam193b,Q3U2K0,F193B_MOUSE,reviewed,Protein FAM193B,Fam193b Kiaa1931,Mus musculus (Mouse),892
Fam204a,Q8C6C7,F204A_MOUSE,reviewed,Protein FAM204A,Fam204a D19Ertd737e,Mus musculus (Mouse),236
Fam208a,Q69ZR9,TASOR_MOUSE,reviewed,Protein TASOR (Transgene activation suppressor protein),Tasor D14Abb1e Fam208a Kiaa1105,Mus musculus (Mouse),1610
Fam20b,Q8VCS3,XYLK_MOUSE,reviewed,Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase),Fam20b,Mus musculus (Mouse),409
Fam214b,Q8BR27,F214B_MOUSE,reviewed,Protein FAM214B,Fam214b Kiaa1539,Mus musculus (Mouse),538
Fam222b,Q6P539,F222B_MOUSE,reviewed,Protein FAM222B,Fam222b,Mus musculus (Mouse),562
Fam234a,Q8C0Z1,F234A_MOUSE,reviewed,Protein FAM234A (Protein ITFG3),Fam234a Itfg3,Mus musculus (Mouse),555
Fam63b,Q6PDI6,MINY2_MOUSE,reviewed,Ubiquitin carboxyl-terminal hydrolase MINDY-2 (EC 3.4.19.12) (Deubiquitinating enzyme MINDY-2) (Protein FAM63B),Mindy2 Fam63b Kiaa1164,Mus musculus (Mouse),601
Fam69a,Q9D6I7,DIK1A_MOUSE,reviewed,Divergent protein kinase domain 1A (Protein FAM69A),Dipk1a Fam69a,Mus musculus (Mouse),428
Fam83g,Q5SWY7,FA83G_MOUSE,reviewed,Protein FAM83G,Fam83g,Mus musculus (Mouse),812
Fam83h,Q148V8,FA83H_MOUSE,reviewed,Protein FAM83H,Fam83h,Mus musculus (Mouse),1209
Fam84a,Q9D650,LRAT1_MOUSE,reviewed,Protein LRATD1 (LRAT domain-containing 1) (Protein FAM84A),Lratd1 Fam84a,Mus musculus (Mouse),292
Fam96a,Q9DCL2,CIA2A_MOUSE,reviewed,Cytosolic iron-sulfur assembly component 2A (MIP18 family protein FAM96A),Ciao2a Fam96a,Mus musculus (Mouse),160
Fancb,Q5XJY6,FANCB_MOUSE,reviewed,Fanconi anemia group B protein homolog (Protein FACB),Fancb,Mus musculus (Mouse),703
Far1,Q922J9,FACR1_MOUSE,reviewed,Fatty acyl-CoA reductase 1 (EC 1.2.1.84),Far1,Mus musculus (Mouse),515
Farp1,F8VPU2,FARP1_MOUSE,reviewed,"FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)",Farp1,Mus musculus (Mouse),1048
Fasn,P19096,FAS_MOUSE,reviewed,Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],Fasn,Mus musculus (Mouse),2504
Fastkd5,Q7TMV3,FAKD5_MOUSE,reviewed,"FAST kinase domain-containing protein 5, mitochondrial",Fastkd5 Kiaa1792,Mus musculus (Mouse),762
Ubox5,Q925F4,RNF37_MOUSE,reviewed,RING finger protein 37 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase RNF37) (U-box domain-containing protein 5) (UbcM4-interacting protein 5),Ubox5 Rnf37 Uip5,Mus musculus (Mouse),539
Fblim1,Q71FD7,FBLI1_MOUSE,reviewed,Filamin-binding LIM protein 1 (FBLP-1) (CSX-associated LIM),Fblim1 Cal,Mus musculus (Mouse),375
Fbn1,Q61554,FBN1_MOUSE,reviewed,Fibrillin-1 [Cleaved into: Asprosin],Fbn1 Fbn-1,Mus musculus (Mouse),2873
Fbxl17,Q9QZN1,FXL17_MOUSE,reviewed,F-box/LRR-repeat protein 17 (F-box and leucine-rich repeat protein 17) (F-box only protein 13),Fbxl17 Fbl17 Fbx13 Fbxo13,Mus musculus (Mouse),701
Fbxl19,Q6PB97,FXL19_MOUSE,reviewed,F-box/LRR-repeat protein 19 (F-box and leucine-rich repeat protein 19),Fbxl19,Mus musculus (Mouse),674
Fbxl5,Q8C2S5,FBXL5_MOUSE,reviewed,F-box/LRR-repeat protein 5 (F-box and leucine-rich repeat protein 5),Fbxl5,Mus musculus (Mouse),690
Fbxl6,Q9QXW0,FBXL6_MOUSE,reviewed,F-box/LRR-repeat protein 6 (F-box and leucine-rich repeat protein 6) (F-box protein FBL6),Fbxl6 Fbl6 MNCb-1275,Mus musculus (Mouse),535
Fbxo21,Q8VDH1,FBX21_MOUSE,reviewed,F-box only protein 21,Fbxo21 Fbx21 Kiaa0875,Mus musculus (Mouse),627
Fbxo22,Q78JE5,FBX22_MOUSE,reviewed,F-box only protein 22,Fbxo22 Fbx22,Mus musculus (Mouse),402
Fbxo31,Q3TQF0,FBX31_MOUSE,reviewed,F-box only protein 31,Fbxo31 MNCb-2609,Mus musculus (Mouse),507
Fbxo32,Q9CPU7,FBX32_MOUSE,reviewed,F-box only protein 32 (Atrogin-1) (Muscle atrophy F-box protein) (MAFbx),Fbxo32,Mus musculus (Mouse),355
Fcho2,Q3UQN2,FCHO2_MOUSE,reviewed,F-BAR domain only protein 2,Fcho2,Mus musculus (Mouse),809
Fem1b,Q9Z2G0,FEM1B_MOUSE,reviewed,Protein fem-1 homolog B (FEM1b) (FEM1-beta) (Fem-1-like death receptor-binding protein alpha) (Fem-1-like in apoptotic pathway protein alpha) (F1A-alpha) (mt-Fem),Fem1b F1aa Kiaa0396,Mus musculus (Mouse),627
Fermt1,P59113,FERM1_MOUSE,reviewed,Fermitin family homolog 1 (Kindlin-1) (Unc-112-related protein 1),Fermt1 Kind1 Urp1,Mus musculus (Mouse),677
Fez2,Q6TYB5,FEZ2_MOUSE,reviewed,Fasciculation and elongation protein zeta-2 (Zygin II) (Zygin-2),Fez2,Mus musculus (Mouse),348
Fgl2,P12804,FGL2_MOUSE,reviewed,Fibroleukin (Cytotoxic T-lymphocyte-specific protein) (Fibrinogen-like protein 2) (Prothrombinase),Fgl2 Fiblp,Mus musculus (Mouse),432
Fh1,P97807,FUMH_MOUSE,reviewed,"Fumarate hydratase, mitochondrial (Fumarase) (EC 4.2.1.2) (EF-3)",Fh Fh1,Mus musculus (Mouse),507
Fhdc1,Q3ULZ2,FHDC1_MOUSE,reviewed,FH2 domain-containing protein 1 (Inverted formin-1),Fhdc1 Inf1 Kiaa1727,Mus musculus (Mouse),1149
Fhit,O89106,FHIT_MOUSE,reviewed,"Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)",Fhit,Mus musculus (Mouse),150
Fhl1,P97447,FHL1_MOUSE,reviewed,Four and a half LIM domains protein 1 (FHL-1) (KyoT) (RBP-associated molecule 14-1) (RAM14-1) (Skeletal muscle LIM-protein 1) (SLIM) (SLIM-1),Fhl1,Mus musculus (Mouse),280
Fhl2,O70433,FHL2_MOUSE,reviewed,Four and a half LIM domains protein 2 (FHL-2) (Skeletal muscle LIM-protein 3) (SLIM-3),Fhl2,Mus musculus (Mouse),279
Fhod1,Q6P9Q4,FHOD1_MOUSE,reviewed,FH1/FH2 domain-containing protein 1 (Formin homolog overexpressed in spleen 1) (FHOS) (Formin homology 2 domain-containing protein 1),Fhod1 Fhos1,Mus musculus (Mouse),1197
Fis1,Q9CQ92,FIS1_MOUSE,reviewed,Mitochondrial fission 1 protein (FIS1 homolog) (Tetratricopeptide repeat protein 11) (TPR repeat protein 11),Fis1 Ttc11,Mus musculus (Mouse),152
Cldn15,Q9Z0S5,CLD15_MOUSE,reviewed,Claudin-15,Cldn15,Mus musculus (Mouse),227
Fkbp10,Q61576,FKB10_MOUSE,reviewed,Peptidyl-prolyl cis-trans isomerase FKBP10 (PPIase FKBP10) (EC 5.2.1.8) (65 kDa FK506-binding protein) (65 kDa FKBP) (FKBP-65) (FK506-binding protein 10) (FKBP-10) (Immunophilin FKBP65) (Rotamase),Fkbp10 Fkbp-rs Fkbp1-rs Fkbp6 Fkbp65 Fkbprp,Mus musculus (Mouse),581
Fkbp15,Q6P9Q6,FKB15_MOUSE,reviewed,FK506-binding protein 15 (FKBP-15) (133 kDa FK506-binding protein) (133 kDa FKBP) (FKBP-133) (WASP and FKBP-like) (WAFL),Fkbp15 Fkbp133 Kiaa0674,Mus musculus (Mouse),1216
