gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Jup,Q02257,PLAK_MOUSE,reviewed,Junction plakoglobin (Desmoplakin III) (Desmoplakin-3),Jup,Mus musculus (Mouse),745
P3h4,Q8K2B0,SC65_MOUSE,reviewed,Endoplasmic reticulum protein SC65 (Leprecan-like protein 4) (Prolyl 3-hydroxylase family member 4) (Synaptonemal complex protein SC65),P3h4 Leprel4 Sc65,Mus musculus (Mouse),443
Acly,Q91V92,ACLY_MOUSE,reviewed,ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (Citrate cleavage enzyme),Acly,Mus musculus (Mouse),1091
Dnajc7,Q9QYI3,DNJC7_MOUSE,reviewed,DnaJ homolog subfamily C member 7 (Cytoplasmic CAR retention protein) (CCRP) (MDj11) (Tetratricopeptide repeat protein 2) (TPR repeat protein 2),Dnajc7 Ttc2,Mus musculus (Mouse),494
Rab5c,P35278,RAB5C_MOUSE,reviewed,Ras-related protein Rab-5C,Rab5c,Mus musculus (Mouse),216
Stat3,P42227,STAT3_MOUSE,reviewed,Signal transducer and activator of transcription 3 (Acute-phase response factor),Stat3 Aprf,Mus musculus (Mouse),770
Ezh1,P70351,EZH1_MOUSE,reviewed,Histone-lysine N-methyltransferase EZH1 (EC 2.1.1.43) (ENX-2) (Enhancer of zeste homolog 1),Ezh1 Enx2,Mus musculus (Mouse),747
Pyy,Q9EPS2,PYY_MOUSE,reviewed,Peptide YY (PYY) (Peptide tyrosine tyrosine) [Cleaved into: Peptide YY(3-36) (PYY-II)],Pyy,Mus musculus (Mouse),98
Atxn7l3,A2AWT3,AT7L3_MOUSE,reviewed,Ataxin-7-like protein 3 (SAGA-associated factor 11 homolog),Atxn7l3,Mus musculus (Mouse),347
Gpatch8,A2A6A1,GPTC8_MOUSE,reviewed,G patch domain-containing protein 8,Gpatch8 Gpatc8 Kiaa0553,Mus musculus (Mouse),1505
Plekhm1,Q7TSI1,PKHM1_MOUSE,reviewed,Pleckstrin homology domain-containing family M member 1 (PH domain-containing family M member 1),Plekhm1,Mus musculus (Mouse),1074
Gosr2,O35166,GOSR2_MOUSE,reviewed,Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin),Gosr2 Gs27,Mus musculus (Mouse),212
Nsf,P46460,NSF_MOUSE,reviewed,Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Suppressor of K(+) transport growth defect 2) (Protein SKD2) (Vesicular-fusion protein NSF),Nsf Skd2,Mus musculus (Mouse),744
Cyb561,Q60720,CY561_MOUSE,reviewed,Cytochrome b561 (Cytochrome b-561),Cyb561 Mcyt,Mus musculus (Mouse),250
Ccdc47,Q9D024,CCD47_MOUSE,reviewed,Coiled-coil domain-containing protein 47 (Adipocyte-specific protein 4) (Calumin),Ccdc47 Asp4,Mus musculus (Mouse),483
Ern1,Q9EQY0,ERN1_MOUSE,reviewed,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],Ern1 Ire1,Mus musculus (Mouse),977
Ddx5,Q61656,DDX5_MOUSE,reviewed,Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box RNA helicase DEAD1) (mDEAD1) (DEAD box protein 5) (RNA helicase p68),Ddx5 Tnz2,Mus musculus (Mouse),614
Prkca,P20444,KPCA_MOUSE,reviewed,Protein kinase C alpha type (PKC-A) (PKC-alpha) (EC 2.7.11.13),Prkca Pkca,Mus musculus (Mouse),672
Nt5c,Q9JM14,NT5C_MOUSE,reviewed,"5'(3')-deoxyribonucleotidase, cytosolic type (EC 3.1.3.-) (Cytosolic 5',3'-pyrimidine nucleotidase) (Deoxy-5'-nucleotidase 1) (dNT-1)",Nt5c Dnt1,Mus musculus (Mouse),200
Hn1,P97825,JUPI1_MOUSE,reviewed,"Jupiter microtubule associated homolog 1 (Hematological and neurological expressed 1 protein) [Cleaved into: Jupiter microtubule associated homolog 1, N-terminally processed]",Jpt1 Hn1,Mus musculus (Mouse),154
Gga3,Q8BMI3,GGA3_MOUSE,reviewed,"ADP-ribosylation factor-binding protein GGA3 (Golgi-localized, gamma ear-containing, ARF-binding protein 3)",Gga3 Kiaa0154,Mus musculus (Mouse),718
Caskin2,Q8VHK1,CSKI2_MOUSE,reviewed,Caskin-2,Caskin2 Kiaa1139,Mus musculus (Mouse),1201
H3f3b,P84244,H33_MOUSE,reviewed,Histone H3.3,H3-3a H3.3a H3f3a; H3-3b H3.3b H3f3b,Mus musculus (Mouse),136
Acox1,Q9R0H0,ACOX1_MOUSE,reviewed,"Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase) [Cleaved into: Peroxisomal acyl-CoA oxidase 1, A chain; Peroxisomal acyl-CoA oxidase 1, B chain; Peroxisomal acyl-CoA oxidase 1, C chain]",Acox1 Acox Paox,Mus musculus (Mouse),661
Evpl,Q9D952,EVPL_MOUSE,reviewed,Envoplakin (210 kDa cornified envelope precursor protein) (p210),Evpl,Mus musculus (Mouse),2035
Prpsap1,Q9D0M1,KPRA_MOUSE,reviewed,Phosphoribosyl pyrophosphate synthase-associated protein 1 (PRPP synthase-associated protein 1) (39 kDa phosphoribosypyrophosphate synthase-associated protein) (PAP39),Prpsap1,Mus musculus (Mouse),356
Rhbdf2,Q80WQ6,RHDF2_MOUSE,reviewed,Inactive rhomboid protein 2 (iRhom2) (Rhomboid family member 2) (Rhomboid veinlet-like protein 6) (Rhomboid-related protein),Rhbdf2 Irhom2 Rhbdl6 Rhor,Mus musculus (Mouse),827
Socs3,O35718,SOCS3_MOUSE,reviewed,Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (Protein EF-10),Socs3 Cis3 Cish3,Mus musculus (Mouse),225
Cyth1,Q9QX11,CYH1_MOUSE,reviewed,"Cytohesin-1 (PH, SEC7 and coiled-coil domain-containing protein 1) (CLM1) (SEC7 homolog A) (mSec7-1)",Cyth1 Pscd1,Mus musculus (Mouse),398
Lgals3bp,Q07797,LG3BP_MOUSE,reviewed,Galectin-3-binding protein (Cyp-C-associated protein) (CyCAP) (Lectin galactoside-binding soluble 3-binding protein) (Protein MAMA),Lgals3bp Cycap Mama,Mus musculus (Mouse),577
Cant1,Q8VCF1,CANT1_MOUSE,reviewed,Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog),Cant1,Mus musculus (Mouse),403
Arhgdia,Q99PT1,GDIR1_MOUSE,reviewed,Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (GDI-1) (Rho-GDI alpha),Arhgdia C87222 Gdi1,Mus musculus (Mouse),204
Pcyt2,Q922E4,PCY2_MOUSE,reviewed,Ethanolamine-phosphate cytidylyltransferase (EC 2.7.7.14) (CTP:phosphoethanolamine cytidylyltransferase) (Phosphorylethanolamine transferase),Pcyt2,Mus musculus (Mouse),404
Notum,Q8R116,NOTUM_MOUSE,reviewed,Palmitoleoyl-protein carboxylesterase NOTUM (EC 3.1.1.98),Notum,Mus musculus (Mouse),503
Dcxr,Q91X52,DCXR_MOUSE,reviewed,L-xylulose reductase (XR) (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase),Dcxr,Mus musculus (Mouse),244
Fasn,P19096,FAS_MOUSE,reviewed,Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)],Fasn,Mus musculus (Mouse),2504
Csnk1d,Q9DC28,KC1D_MOUSE,reviewed,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),Csnk1d Hckid,Mus musculus (Mouse),415
Dnmt3a,O88508,DNM3A_MOUSE,reviewed,DNA (cytosine-5)-methyltransferase 3A (Dnmt3a) (EC 2.1.1.37) (DNA methyltransferase MmuIIIA) (DNA MTase MmuIIIA) (M.MmuIIIA),Dnmt3a,Mus musculus (Mouse),908
Itsn2,Q9Z0R6,ITSN2_MOUSE,reviewed,Intersectin-2 (EH domain and SH3 domain regulator of endocytosis 2) (EH and SH3 domains protein 2) (SH3 domain-containing protein 1B),Itsn2 Ese2 Sh3d1B,Mus musculus (Mouse),1659
Pum2,Q80U58,PUM2_MOUSE,reviewed,Pumilio homolog 2,Pum2 Kiaa0235,Mus musculus (Mouse),1066
Sdc1,P18828,SDC1_MOUSE,reviewed,Syndecan-1 (SYND1) (CD antigen CD138),Sdc1 Synd-1 Synd1,Mus musculus (Mouse),311
Laptm4a,Q60961,LAP4A_MOUSE,reviewed,Lysosomal-associated transmembrane protein 4A (Golgi 4-transmembrane-spanning transporter) (Mouse transporter protein) (MTP),Laptm4a Mtrp,Mus musculus (Mouse),233
Wdr35,Q8BND3,WDR35_MOUSE,reviewed,WD repeat-containing protein 35,Wdr35,Mus musculus (Mouse),1181
Rock2,P70336,ROCK2_MOUSE,reviewed,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",Rock2,Mus musculus (Mouse),1388
Pdia6,Q922R8,PDIA6_MOUSE,reviewed,Protein disulfide-isomerase A6 (EC 5.3.4.1) (Thioredoxin domain-containing protein 7),Pdia6 Txndc7,Mus musculus (Mouse),440
Odc1,P00860,DCOR_MOUSE,reviewed,Ornithine decarboxylase (ODC) (EC 4.1.1.17),Odc1 Odc,Mus musculus (Mouse),461
Hpcal1,P62748,HPCL1_MOUSE,reviewed,Hippocalcin-like protein 1 (Neural visinin-like protein 3) (NVL-3) (NVP-3) (Visinin-like protein 3) (VILIP-3),Hpcal1,Mus musculus (Mouse),193
Asap2,Q7SIG6,ASAP2_MOUSE,reviewed,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Development and differentiation-enhancing factor 2) (Paxillin-associated protein with ARF GAP activity 3) (PAG3) (Pyk2 C-terminus-associated protein) (PAP)",Asap2 Ddef2 Gm1523 Gm592,Mus musculus (Mouse),958
Tssc1,Q8K0G5,EIPR1_MOUSE,reviewed,EARP and GARP complex-interacting protein 1 (Endosome-associated recycling protein-interacting protein) (Golgi-associated retrograde protein-interacting protein) (Tumor-suppressing STF cDNA 1 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 1 protein),Eipr1 Tssc1,Mus musculus (Mouse),386
Pxdn,Q3UQ28,PXDN_MOUSE,reviewed,Peroxidasin homolog (EC 1.11.1.7),Pxdn Kiaa0230,Mus musculus (Mouse),1475
Slc26a3,Q9WVC8,S26A3_MOUSE,reviewed,Chloride anion exchanger (Down-regulated in adenoma) (Protein DRA) (Solute carrier family 26 member 3),Slc26a3 Dra,Mus musculus (Mouse),757
Sypl,O09117,SYPL1_MOUSE,reviewed,Synaptophysin-like protein 1 (Pantophysin),Sypl1 Pphn Sypl,Mus musculus (Mouse),261
Atxn7l1,Q9CZ05,AT7L1_MOUSE,reviewed,Ataxin-7-like protein 1 (Ataxin-7-like protein 4),Atxn7l1 Atxn7l4,Mus musculus (Mouse),146
Agr2,O88312,AGR2_MOUSE,reviewed,Anterior gradient protein 2 homolog (AG-2) (mAG-2) (Protein Gob-4) (Secreted cement gland protein XAG-2 homolog),Agr2 Gob4,Mus musculus (Mouse),175
Dock4,P59764,DOCK4_MOUSE,reviewed,Dedicator of cytokinesis protein 4,Dock4 Kiaa0716,Mus musculus (Mouse),1978
Pnpla8,Q8K1N1,PLPL8_MOUSE,reviewed,Calcium-independent phospholipase A2-gamma (EC 3.1.1.5) (Intracellular membrane-associated calcium-independent phospholipase A2 gamma) (iPLA2-gamma) (Patatin-like phospholipase domain-containing protein 8),Pnpla8 Ipla22 Ipla2g,Mus musculus (Mouse),776
Arhgap5,P97393,RHG05_MOUSE,reviewed,Rho GTPase-activating protein 5 (Rho-type GTPase-activating protein 5) (p190-B),Arhgap5 Rhogap5,Mus musculus (Mouse),1501
Psma6,Q9QUM9,PSA6_MOUSE,reviewed,Proteasome subunit alpha type-6 (EC 3.4.25.1) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain),Psma6,Mus musculus (Mouse),246
Pnn,O35691,PININ_MOUSE,reviewed,Pinin,Pnn,Mus musculus (Mouse),725
Mia2,Q91ZV0,MIA2_MOUSE,reviewed,Melanoma inhibitory activity protein 2 (CTAGE family member 5 ER export factor),Mia2 Ctage5,Mus musculus (Mouse),1396
Prpf39,Q8K2Z2,PRP39_MOUSE,reviewed,Pre-mRNA-processing factor 39 (PRP39 homolog),Prpf39,Mus musculus (Mouse),665
Arf6,P62331,ARF6_MOUSE,reviewed,ADP-ribosylation factor 6,Arf6,Mus musculus (Mouse),175
Daam1,Q8BPM0,DAAM1_MOUSE,reviewed,Disheveled-associated activator of morphogenesis 1,Daam1,Mus musculus (Mouse),1077
Hif1a,Q61221,HIF1A_MOUSE,reviewed,Hypoxia-inducible factor 1-alpha (HIF-1-alpha) (HIF1-alpha) (ARNT-interacting protein),Hif1a,Mus musculus (Mouse),836
Syne2,Q6ZWQ0,SYNE2_MOUSE,reviewed,Nesprin-2 (KASH domain-containing protein 2) (KASH2) (Nuclear envelope spectrin repeat protein 2) (Nucleus and actin connecting element protein) (Protein NUANCE) (Synaptic nuclear envelope protein 2) (Syne-2),Syne2,Mus musculus (Mouse),6874
Plekhg3,Q4VAC9,PKHG3_MOUSE,reviewed,Pleckstrin homology domain-containing family G member 3 (PH domain-containing family G member 3),Plekhg3 Kiaa0599,Mus musculus (Mouse),1341
Fut8,Q9WTS2,FUT8_MOUSE,reviewed,"Alpha-(1,6)-fucosyltransferase (Alpha1-6FucT) (EC 2.4.1.68) (Fucosyltransferase 8) (GDP-L-Fuc:N-acetyl-beta-D-glucosaminide alpha1,6-fucosyltransferase) (GDP-fucose--glycoprotein fucosyltransferase) (Glycoprotein 6-alpha-L-fucosyltransferase)",Fut8,Mus musculus (Mouse),575
Gphn,Q8BUV3,GEPH_MOUSE,reviewed,Gephyrin [Includes: Molybdopterin adenylyltransferase (MPT adenylyltransferase) (EC 2.7.7.75) (Domain G); Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1) (Domain E)],Gphn,Mus musculus (Mouse),769
Plekhh1,Q80TI1,PKHH1_MOUSE,reviewed,Pleckstrin homology domain-containing family H member 1 (PH domain-containing family H member 1),Plekhh1 Kiaa1200,Mus musculus (Mouse),1356
Rad51b,O35719,RA51B_MOUSE,reviewed,DNA repair protein RAD51 homolog 2 (R51H2) (RAD51 homolog B) (RAD51-like protein 1),Rad51b Rad51l1 Rec2,Mus musculus (Mouse),350
Susd6,Q8BGE4,SUSD6_MOUSE,reviewed,Sushi domain-containing protein 6 (Drago),Susd6 Kiaa0247,Mus musculus (Mouse),302
Srsf5,O35326,SRSF5_MOUSE,reviewed,"Serine/arginine-rich splicing factor 5 (Delayed-early protein HRS) (Pre-mRNA-splicing factor SRP40) (Splicing factor, arginine/serine-rich 5)",Srsf5 Hrs Sfrs5,Mus musculus (Mouse),269
Ttc9,Q3V038,TTC9A_MOUSE,reviewed,Tetratricopeptide repeat protein 9A (TPR repeat protein 9A),Ttc9 Kiaa0227 Ttc9a,Mus musculus (Mouse),219
Sipa1l1,Q8C0T5,SI1L1_MOUSE,reviewed,Signal-induced proliferation-associated 1-like protein 1 (SIPA1-like protein 1),Sipa1l1 Kiaa0440,Mus musculus (Mouse),1782
Rbm25,B2RY56,RBM25_MOUSE,reviewed,RNA-binding protein 25 (RNA-binding motif protein 25),Rbm25,Mus musculus (Mouse),838
Ylpm1,Q9R0I7,YLPM1_MOUSE,reviewed,YLP motif-containing protein 1 (Nuclear protein ZAP3),Ylpm1 Zap Zap3,Mus musculus (Mouse),1386
Dlst,Q9D2G2,ODO2_MOUSE,reviewed,"Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex) (E2K)",Dlst,Mus musculus (Mouse),454
Eif2b2,Q99LD9,EI2BB_MOUSE,reviewed,Translation initiation factor eIF-2B subunit beta (eIF-2B GDP-GTP exchange factor subunit beta),Eif2b2,Mus musculus (Mouse),351
Fos,P01101,FOS_MOUSE,reviewed,Proto-oncogene c-Fos (Cellular oncogene fos),Fos,Mus musculus (Mouse),380
Cipc,Q8R0W1,CIPC_MOUSE,reviewed,CLOCK-interacting pacemaker (CLOCK-interacting circadian protein),Cipc Kiaa1737,Mus musculus (Mouse),432
Calm1,P0DP26,CALM1_MOUSE,reviewed,Calmodulin-1,Calm1 Calm Cam Cam1,Mus musculus (Mouse),149
Rin3,P59729,RIN3_MOUSE,reviewed,Ras and Rab interactor 3 (Ras interaction/interference protein 3),Rin3,Mus musculus (Mouse),980
Papola,Q61183,PAPOA_MOUSE,reviewed,Poly(A) polymerase alpha (PAP-alpha) (EC 2.7.7.19) (Polynucleotide adenylyltransferase),Papola Pap Plap,Mus musculus (Mouse),739
Ccnk,O88874,CCNK_MOUSE,reviewed,Cyclin-K,Ccnk,Mus musculus (Mouse),554
Yy1,Q00899,TYY1_MOUSE,reviewed,Transcriptional repressor protein YY1 (Delta transcription factor) (NF-E1) (UCR-motif DNA-binding protein) (Yin and yang 1) (YY-1),Yy1 Ucrbp,Mus musculus (Mouse),414
Dync1h1,Q9JHU4,DYHC1_MOUSE,reviewed,"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)",Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc,Mus musculus (Mouse),4644
Rcor1,Q8CFE3,RCOR1_MOUSE,reviewed,REST corepressor 1 (Protein CoREST),Rcor1 D12Wsu95e Kiaa0071,Mus musculus (Mouse),480
Eif5,P59325,IF5_MOUSE,reviewed,Eukaryotic translation initiation factor 5 (eIF-5),Eif5,Mus musculus (Mouse),429
Zbtb42,Q811H0,ZBT42_MOUSE,reviewed,Zinc finger and BTB domain-containing protein 42 (Protein simiRP58),Zbtb42,Mus musculus (Mouse),420
Cep170b,Q80U49,C170B_MOUSE,reviewed,Centrosomal protein of 170 kDa protein B (Centrosomal protein 170B) (Cep170B),Cep170b Kiaa0284,Mus musculus (Mouse),1574
Crip2,Q9DCT8,CRIP2_MOUSE,reviewed,Cysteine-rich protein 2 (CRP-2) (Heart LIM protein),Crip2 Crp2 Hlp,Mus musculus (Mouse),208
Esyt2,Q3TZZ7,ESYT2_MOUSE,reviewed,Extended synaptotagmin-2 (E-Syt2),Esyt2 D12Ertd551e Fam62b,Mus musculus (Mouse),845
Rab10,P61027,RAB10_MOUSE,reviewed,Ras-related protein Rab-10,Rab10,Mus musculus (Mouse),200
Rhob,P62746,RHOB_MOUSE,reviewed,Rho-related GTP-binding protein RhoB,Rhob Arhb,Mus musculus (Mouse),196
Fam84a,Q9D650,LRAT1_MOUSE,reviewed,Protein LRATD1 (LRAT domain-containing 1) (Protein FAM84A),Lratd1 Fam84a,Mus musculus (Mouse),292
Trib2,Q8K4K3,TRIB2_MOUSE,reviewed,Tribbles homolog 2 (TRB-2),Trib2,Mus musculus (Mouse),343
Lpin1,Q91ZP3,LPIN1_MOUSE,reviewed,Phosphatidate phosphatase LPIN1 (EC 3.1.3.4) (Fatty liver dystrophy protein) (Lipin-1),Lpin1 Fld,Mus musculus (Mouse),924
Greb1,Q3UHK3,GREB1_MOUSE,reviewed,Protein GREB1,Greb1 Kiaa0575,Mus musculus (Mouse),1954
Adam17,Q9Z0F8,ADA17_MOUSE,reviewed,Disintegrin and metalloproteinase domain-containing protein 17 (ADAM 17) (EC 3.4.24.86) (TNF-alpha convertase) (TNF-alpha-converting enzyme) (CD antigen CD156b),Adam17 Tace,Mus musculus (Mouse),827
Ywhaq,P68254,1433T_MOUSE,reviewed,14-3-3 protein theta (14-3-3 protein tau),Ywhaq,Mus musculus (Mouse),245
Rsad2,Q8CBB9,RSAD2_MOUSE,reviewed,"Radical S-adenosyl methionine domain-containing protein 2 (Viperin) (Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible)",Rsad2 Vig1,Mus musculus (Mouse),362
Hbp1,Q8R316,HBP1_MOUSE,reviewed,HMG box-containing protein 1 (HMG box transcription factor 1) (High mobility group box transcription factor 1),Hbp1,Mus musculus (Mouse),516
Hbp1,Q9D1N2,HDBP1_MOUSE,reviewed,Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPI-HBP1) (GPI-anchored HDL-binding protein 1) (High density lipoprotein-binding protein 1),Gpihbp1 Hbp1,Mus musculus (Mouse),228
Stxbp6,Q8R3T5,STXB6_MOUSE,reviewed,Syntaxin-binding protein 6,Stxbp6,Mus musculus (Mouse),210
Hectd1,Q69ZR2,HECD1_MOUSE,reviewed,E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (HECT domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECTD1) (Protein open mind),Hectd1 Kiaa1131 Opm,Mus musculus (Mouse),2618
Heatr5a,Q5PRF0,HTR5A_MOUSE,reviewed,HEAT repeat-containing protein 5A,Heatr5a Kiaa1316,Mus musculus (Mouse),2038
Sptssa,Q8R207,SPTSA_MOUSE,reviewed,Serine palmitoyltransferase small subunit A (Small subunit of serine palmitoyltransferase A) (ssSPTa),Sptssa Ssspta,Mus musculus (Mouse),71
Eapp,Q5BU09,EAPP_MOUSE,reviewed,E2F-associated phosphoprotein (EAPP),Eapp,Mus musculus (Mouse),281
Cfl2,P45591,COF2_MOUSE,reviewed,"Cofilin-2 (Cofilin, muscle isoform)",Cfl2,Mus musculus (Mouse),166
Nfkbia,Q9Z1E3,IKBA_MOUSE,reviewed,NF-kappa-B inhibitor alpha (I-kappa-B-alpha) (IkB-alpha) (IkappaBalpha),Nfkbia Ikba,Mus musculus (Mouse),314
Ralgapa1,Q6GYP7,RGPA1_MOUSE,reviewed,Ral GTPase-activating protein subunit alpha-1 (GAP-related-interacting partner to E12) (GRIPE) (GTPase-activating RapGAP domain-like 1) (Tuberin-like protein 1) (p240),Ralgapa1 Garnl1 Kiaa0884 Tulip1,Mus musculus (Mouse),2035
Mbip,Q99LQ1,MBIP1_MOUSE,reviewed,MAP3K12-binding inhibitory protein 1 (MAPK upstream kinase-binding inhibitory protein) (MUK-binding inhibitory protein),Mbip,Mus musculus (Mouse),341
Foxa1,P35582,FOXA1_MOUSE,reviewed,Hepatocyte nuclear factor 3-alpha (HNF-3-alpha) (HNF-3A) (Forkhead box protein A1),Foxa1 Hnf3a Tcf-3a Tcf3a,Mus musculus (Mouse),468
Sec23a,Q01405,SC23A_MOUSE,reviewed,Protein transport protein Sec23A (SEC23-related protein A),Sec23a Sec23 Sec23r,Mus musculus (Mouse),765
Klhl28,Q9CR40,KLH28_MOUSE,reviewed,Kelch-like protein 28 (BTB/POZ domain-containing protein 5),Klhl28 Btbd5,Mus musculus (Mouse),571
Nemf,Q8CCP0,NEMF_MOUSE,reviewed,Nuclear export mediator factor Nemf (Serologically defined colon cancer antigen 1 homolog),Nemf Sdccag1,Mus musculus (Mouse),1064
Sos2,Q02384,SOS2_MOUSE,reviewed,Son of sevenless homolog 2 (SOS-2) (mSOS-2),Sos2,Mus musculus (Mouse),1333
Nin,Q61043,NIN_MOUSE,reviewed,Ninein,Nin Kiaa1565,Mus musculus (Mouse),2113
Tmem30b,Q8BHG3,CC50B_MOUSE,reviewed,Cell cycle control protein 50B (Transmembrane protein 30B),Tmem30b Cdc50b,Mus musculus (Mouse),353
Ppp2r5e,Q61151,2A5E_MOUSE,reviewed,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform (PP2A B subunit isoform B'-epsilon) (PP2A B subunit isoform B56-epsilon) (PP2A B subunit isoform PR61-epsilon) (PP2A B subunit isoform R5-epsilon),Ppp2r5e Kiaa4006,Mus musculus (Mouse),467
Rab15,Q8K386,RAB15_MOUSE,reviewed,Ras-related protein Rab-15,Rab15,Mus musculus (Mouse),212
Max,P28574,MAX_MOUSE,reviewed,Protein max (Myc-associated factor X) (Myc-binding novel HLH/LZ protein) (Protein myn),Max Myn,Mus musculus (Mouse),160
Atp6v1d,P57746,VATD_MOUSE,reviewed,V-type proton ATPase subunit D (V-ATPase subunit D) (V-ATPase 28 kDa accessory protein) (Vacuolar proton pump subunit D),Atp6v1d Atp6m Vatd,Mus musculus (Mouse),247
Vti1b,O88384,VTI1B_MOUSE,reviewed,Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1),Vti1b Vti1l1,Mus musculus (Mouse),232
Rdh11,Q9QYF1,RDH11_MOUSE,reviewed,Retinol dehydrogenase 11 (EC 1.1.1.300) (Androgen-regulated short-chain dehydrogenase/reductase 1) (Cell line MC/9.IL4-derived protein 1) (M42C60) (Prostate short-chain dehydrogenase/reductase 1) (Retinal reductase 1) (RalR1) (Short-chain aldehyde dehydrogenase) (SCALD),Rdh11 Arsdr1 Mdt1 Psdr1,Mus musculus (Mouse),316
Zfyve26,Q5DU37,ZFY26_MOUSE,reviewed,Zinc finger FYVE domain-containing protein 26,Zfyve26 Kiaa0321,Mus musculus (Mouse),2529
Zfp36l1,P23950,TISB_MOUSE,reviewed,"mRNA decay activator protein ZFP36L1 (Butyrate response factor 1) (TPA-induced sequence 11b) (Zinc finger protein 36, C3H1 type-like 1) (ZFP36-like 1)",Zfp36l1 Brf1 Tis11b,Mus musculus (Mouse),338
Actn1,Q7TPR4,ACTN1_MOUSE,reviewed,Alpha-actinin-1 (Alpha-actinin cytoskeletal isoform) (F-actin cross-linking protein) (Non-muscle alpha-actinin-1),Actn1,Mus musculus (Mouse),892
Map3k9,Q3U1V8,M3K9_MOUSE,reviewed,Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25),Map3k9,Mus musculus (Mouse),1077
Zfyve1,Q810J8,ZFYV1_MOUSE,reviewed,Zinc finger FYVE domain-containing protein 1,Zfyve1,Mus musculus (Mouse),777
Arel1,Q8CHG5,AREL1_MOUSE,reviewed,Apoptosis-resistant E3 ubiquitin protein ligase 1 (EC 2.3.2.26) (Apoptosis-resistant HECT-type E3 ubiquitin transferase 1),Arel1 Kiaa0317,Mus musculus (Mouse),823
Vipas39,Q8BGQ1,SPE39_MOUSE,reviewed,Spermatogenesis-defective protein 39 homolog (hSPE-39) (VPS33B-interacting protein in apical-basolateral polarity regulator) (VPS33B-interacting protein in polarity and apical restriction),Vipas39 Spe39 Vipar,Mus musculus (Mouse),491
Sptlc2,P97363,SPTC2_MOUSE,reviewed,Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2),Sptlc2 Lcb2,Mus musculus (Mouse),560
