gene_name,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
Elf1,Q60775,ELF1_MOUSE,reviewed,ETS-related transcription factor Elf-1 (E74-like factor 1),Elf1,Mus musculus (Mouse),612
Bora,Q8BS90,BORA_MOUSE,reviewed,Protein aurora borealis,Bora,Mus musculus (Mouse),525
Klf5,Q9Z0Z7,KLF5_MOUSE,reviewed,Krueppel-like factor 5 (Basic transcription element-binding protein 2) (BTE-binding protein 2) (Intestinal-enriched krueppel-like factor) (Transcription factor BTEB2),Klf5 Bteb2 Iklf,Mus musculus (Mouse),446
Uchl3,Q9JKB1,UCHL3_MOUSE,reviewed,Ubiquitin carboxyl-terminal hydrolase isozyme L3 (UCH-L3) (EC 3.4.19.12) (Ubiquitin thioesterase L3),Uchl3,Mus musculus (Mouse),230
Ndfip2,Q91ZP6,NFIP2_MOUSE,reviewed,NEDD4 family-interacting protein 2 (NEDD4 WW domain-binding protein 5A) (Fragment),Ndfip2 Kiaa1165 N4wbp5A,Mus musculus (Mouse),311
Dnajc3,Q91YW3,DNJC3_MOUSE,reviewed,"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)",Dnajc3 P58ipk,Mus musculus (Mouse),504
Mbnl2,Q8C181,MBNL2_MOUSE,reviewed,Muscleblind-like protein 2,Mbnl2 Kiaa4072,Mus musculus (Mouse),373
Farp1,F8VPU2,FARP1_MOUSE,reviewed,"FERM, ARHGEF and pleckstrin domain-containing protein 1 (FERM, RhoGEF and pleckstrin domain-containing protein 1)",Farp1,Mus musculus (Mouse),1048
Tm9sf2,P58021,TM9S2_MOUSE,reviewed,Transmembrane 9 superfamily member 2,Tm9sf2,Mus musculus (Mouse),662
Pcca,Q91ZA3,PCCA_MOUSE,reviewed,"Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)",Pcca,Mus musculus (Mouse),724
Oit1,P97805,FAM3D_MOUSE,reviewed,Protein FAM3D (Oncoprotein-induced protein 1) (Protein EF-7),Fam3d Oit1,Mus musculus (Mouse),223
Fhit,O89106,FHIT_MOUSE,reviewed,"Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)",Fhit,Mus musculus (Mouse),150
Nr1d2,Q60674,NR1D2_MOUSE,reviewed,Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear receptor RVR) (Rev-erb-beta),Nr1d2,Mus musculus (Mouse),576
Rpl15,Q9CZM2,RL15_MOUSE,reviewed,60S ribosomal protein L15,Rpl15,Mus musculus (Mouse),204
Ube2e2,Q91W82,UB2E2_MOUSE,reviewed,Ubiquitin-conjugating enzyme E2 E2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme E2) (Ubiquitin carrier protein E2) (Ubiquitin-protein ligase E2),Ube2e2,Mus musculus (Mouse),201
Usp54,Q8BL06,UBP54_MOUSE,reviewed,Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54),Usp54,Mus musculus (Mouse),1588
Ap3m1,Q9JKC8,AP3M1_MOUSE,reviewed,AP-3 complex subunit mu-1 (AP-3 adaptor complex mu3A subunit) (Adaptor-related protein complex 3 subunit mu-1) (Mu-adaptin 3A) (Mu3A-adaptin),Ap3m1,Mus musculus (Mouse),418
Kcnma1,Q08460,KCMA1_MOUSE,reviewed,"Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (mSlo1) (Slowpoke homolog) (Slo homolog) (mSlo)",Kcnma1 Kcnma,Mus musculus (Mouse),1209
Dlg5,E9Q9R9,DLG5_MOUSE,reviewed,Disks large homolog 5,Dlg5,Mus musculus (Mouse),1921
Slmap,Q3URD3,SLMAP_MOUSE,reviewed,Sarcolemmal membrane-associated protein (Sarcolemmal-associated protein),Slmap Kiaa1601 Slap,Mus musculus (Mouse),845
Appl1,Q8K3H0,DP13A_MOUSE,reviewed,"DCC-interacting protein 13-alpha (Dip13-alpha) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 1)",Appl1 Dip13a Kiaa1428,Mus musculus (Mouse),707
Prkcd,P28867,KPCD_MOUSE,reviewed,Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],Prkcd Pkcd,Mus musculus (Mouse),674
Gnl3,Q8CI11,GNL3_MOUSE,reviewed,Guanine nucleotide-binding protein-like 3 (Nucleolar GTP-binding protein 3) (Nucleostemin),Gnl3 Ns,Mus musculus (Mouse),538
Mettl6,Q8BVH9,METL6_MOUSE,reviewed,tRNA N(3)-methylcytidine methyltransferase METTL6 (EC 2.1.1.-) (Methyltransferase-like protein 6),Mettl6,Mus musculus (Mouse),282
Ankrd28,Q505D1,ANR28_MOUSE,reviewed,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A (PP6-ARS-A) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-A) (Ankyrin repeat domain-containing protein 28) (Phosphatase interactor targeting protein hnRNP K) (PITK),Ankrd28,Mus musculus (Mouse),1053
Bmpr1a,P36895,BMR1A_MOUSE,reviewed,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (BMP-2/BMP-4 receptor) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292),Bmpr1a Acvrlk3 Bmpr,Mus musculus (Mouse),532
Tspan14,Q8QZY6,TSN14_MOUSE,reviewed,Tetraspanin-14 (Tspan-14) (Transmembrane 4 superfamily member 14),Tspan14 D14Ertd226e Tm4sf14,Mus musculus (Mouse),270
Ero1l,Q8R180,ERO1A_MOUSE,reviewed,ERO1-like protein alpha (ERO1-L) (ERO1-L-alpha) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase alpha) (Endoplasmic reticulum oxidoreductin-1-like protein) (Oxidoreductin-1-L-alpha),Ero1a Ero1l,Mus musculus (Mouse),464
Gnpnat1,Q9JK38,GNA1_MOUSE,reviewed,Glucosamine 6-phosphate N-acetyltransferase (EC 2.3.1.4) (Phosphoglucosamine acetylase) (Phosphoglucosamine transacetylase) (Protein EMeg32),Gnpnat1 Gna1,Mus musculus (Mouse),184
Cnih1,O35372,CNIH1_MOUSE,reviewed,Protein cornichon homolog 1 (CNIH-1) (Cornichon family AMPA receptor auxiliary protein 1) (Protein cornichon homolog),Cnih1 Cnih,Mus musculus (Mouse),144
Gmfb,Q9CQI3,GMFB_MOUSE,reviewed,Glia maturation factor beta (GMF-beta),Gmfb,Mus musculus (Mouse),142
Exoc5,Q3TPX4,EXOC5_MOUSE,reviewed,Exocyst complex component 5 (Exocyst complex component Sec10),Exoc5 Sec10l1,Mus musculus (Mouse),708
Tep1,P97499,TEP1_MOUSE,reviewed,Telomerase protein component 1 (Telomerase-associated protein 1) (Telomerase protein 1) (p240) (p80 telomerase homolog),Tep1 Tp1,Mus musculus (Mouse),2629
Tmem55b,Q3TWL2,PP4P1_MOUSE,reviewed,"Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 1 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase I) (Transmembrane protein 55B)",Pip4p1 Tmem55b,Mus musculus (Mouse),284
Ang4,Q3TMQ6,ANG4_MOUSE,reviewed,Angiogenin-4 (EC 3.1.27.-),Ang4,Mus musculus (Mouse),144
Ndrg2,Q9QYG0,NDRG2_MOUSE,reviewed,Protein NDRG2 (N-myc downstream-regulated gene 2 protein) (Protein Ndr2),Ndrg2 Kiaa1248 Ndr2,Mus musculus (Mouse),371
Zfp219,Q6IQX8,ZN219_MOUSE,reviewed,Zinc finger protein 219,Znf219 Zfp219,Mus musculus (Mouse),726
Hnrnpc,Q9Z204,HNRPC_MOUSE,reviewed,Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2),Hnrnpc Hnrpc,Mus musculus (Mouse),313
Supt16,Q920B9,SP16H_MOUSE,reviewed,FACT complex subunit SPT16 (Chromatin-specific transcription elongation factor 140 kDa subunit) (FACT 140 kDa subunit) (FACTp140) (Facilitates chromatin transcription complex subunit SPT16),Supt16h Fact140 Factp140 Supt16,Mus musculus (Mouse),1047
Dad1,P61804,DAD1_MOUSE,reviewed,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 (Oligosaccharyl transferase subunit DAD1) (Defender against cell death 1) (DAD-1),Dad1,Mus musculus (Mouse),113
Slc7a7,Q9Z1K8,YLAT1_MOUSE,reviewed,Y+L amino acid transporter 1 (Solute carrier family 7 member 7) (y(+)L-type amino acid transporter 1) (Y+LAT1) (y+LAT-1),Slc7a7,Mus musculus (Mouse),510
Acin1,Q9JIX8,ACINU_MOUSE,reviewed,Apoptotic chromatin condensation inducer in the nucleus (Acinus),Acin1 Acinus,Mus musculus (Mouse),1338
Tm9sf1,Q9DBU0,TM9S1_MOUSE,reviewed,Transmembrane 9 superfamily member 1,Tm9sf1,Mus musculus (Mouse),606
Dhrs1,Q99L04,DHRS1_MOUSE,reviewed,Dehydrogenase/reductase SDR family member 1 (EC 1.1.-.-),Dhrs1 D14ertd484e,Mus musculus (Mouse),313
Cryl1,Q99KP3,CRYL1_MOUSE,reviewed,Lambda-crystallin homolog (EC 1.1.1.45) (L-gulonate 3-dehydrogenase) (Gul3DH),Cryl1 Cry,Mus musculus (Mouse),319
Xpo4,Q9ESJ0,XPO4_MOUSE,reviewed,Exportin-4 (Exp4),Xpo4 Kiaa1721,Mus musculus (Mouse),1151
Zdhhc20,Q5Y5T1,ZDH20_MOUSE,reviewed,Palmitoyltransferase ZDHHC20 (EC 2.3.1.225) (Acyltransferase ZDHHC20) (EC 2.3.1.-) (DHHC domain-containing cysteine-rich protein 20) (DHHC-20) (Zinc finger DHHC domain-containing protein 20),Zdhhc20,Mus musculus (Mouse),380
Nupl1,Q8R332,NUP58_MOUSE,reviewed,Nucleoporin p58/p45 (58 kDa nucleoporin) (Nucleoporin-like protein 1),Nup58 Nupl1,Mus musculus (Mouse),587
Tnfrsf19,Q9JLL3,TNR19_MOUSE,reviewed,Tumor necrosis factor receptor superfamily member 19 (TRADE) (Toxicity and JNK inducer),Tnfrsf19 Taj Troy,Mus musculus (Mouse),416
Ints6,Q6PCM2,INT6_MOUSE,reviewed,Integrator complex subunit 6 (Int6) (DBI-1) (Protein DDX26),Ints6 Dbi1 Ddx26,Mus musculus (Mouse),883
Fdft1,P53798,FDFT_MOUSE,reviewed,Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase),Fdft1 Erg9,Mus musculus (Mouse),416
Ptk2b,Q9QVP9,FAK2_MOUSE,reviewed,Protein-tyrosine kinase 2-beta (EC 2.7.10.2) (Calcium-dependent tyrosine kinase) (CADTK) (Calcium-regulated non-receptor proline-rich tyrosine kinase) (Cell adhesion kinase beta) (CAK-beta) (CAKB) (Focal adhesion kinase 2) (FADK 2) (Proline-rich tyrosine kinase 2) (Related adhesion focal tyrosine kinase) (RAFTK),Ptk2b Fak2 Pyk2 Raftk,Mus musculus (Mouse),1009
Ppp2r2a,Q6P1F6,2ABA_MOUSE,reviewed,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha),Ppp2r2a,Mus musculus (Mouse),447
Dock5,B2RY04,DOCK5_MOUSE,reviewed,Dedicator of cytokinesis protein 5 (Lens rupture protein 2) (Rupture of lens cataract protein),Dock5 Lr2 Rlc,Mus musculus (Mouse),1868
Adamdec1,Q9R0X2,ADEC1_MOUSE,reviewed,ADAM DEC1 (EC 3.4.24.-) (A disintegrin and metalloproteinase domain-like protein decysin-1) (ADAM-like protein decysin-1),Adamdec1,Mus musculus (Mouse),467
Chmp7,Q8R1T1,CHMP7_MOUSE,reviewed,Charged multivesicular body protein 7 (Chromatin-modifying protein 7),Chmp7,Mus musculus (Mouse),451
Rhobtb2,Q91V93,RHBT2_MOUSE,reviewed,Rho-related BTB domain-containing protein 2 (Deleted in breast cancer 2 gene protein homolog),Rhobtb2 Dbc2,Mus musculus (Mouse),728
Ccar2,Q8VDP4,CCAR2_MOUSE,reviewed,Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2),Ccar2,Mus musculus (Mouse),922
Fam160b2,Q80YR2,F16B2_MOUSE,reviewed,Protein FAM160B2 (Retinoic acid-induced protein 16),Fam160b2 Rai16,Mus musculus (Mouse),744
Xpo7,Q9EPK7,XPO7_MOUSE,reviewed,Exportin-7 (Exp7) (Ran-binding protein 16),Xpo7 Kiaa0745 Ranbp16,Mus musculus (Mouse),1087
Fndc3a,Q8BX90,FND3A_MOUSE,reviewed,Fibronectin type-III domain-containing protein 3A,Fndc3a D14Ertd453e Fndc3 Kiaa0970,Mus musculus (Mouse),1198
Rb1,P13405,RB_MOUSE,reviewed,Retinoblastoma-associated protein (p110-RB1) (pRb) (Rb) (pp105),Rb1 Rb-1,Mus musculus (Mouse),921
Cog3,Q8CI04,COG3_MOUSE,reviewed,Conserved oligomeric Golgi complex subunit 3 (COG complex subunit 3) (Component of oligomeric Golgi complex 3),Cog3,Mus musculus (Mouse),820
Dis3,Q9CSH3,RRP44_MOUSE,reviewed,Exosome complex exonuclease RRP44 (EC 3.1.13.-) (EC 3.1.26.-) (Protein DIS3 homolog) (Ribosomal RNA-processing protein 44),Dis3 Kiaa1008 Rrp44,Mus musculus (Mouse),958
Tbc1d4,Q8BYJ6,TBCD4_MOUSE,reviewed,TBC1 domain family member 4 (Akt substrate of 160 kDa) (AS160),Tbc1d4 As160 Kiaa0603,Mus musculus (Mouse),1307
Mycbp2,Q7TPH6,MYCB2_MOUSE,reviewed,E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Pam/highwire/rpm-1 protein) (Protein Magellan) (Protein associated with Myc),Mycbp2 Pam Phr1,Mus musculus (Mouse),4749
Spry2,Q9QXV8,SPY2_MOUSE,reviewed,Protein sprouty homolog 2 (Spry-2),Spry2,Mus musculus (Mouse),315
Ggact,Q923B0,GGACT_MOUSE,reviewed,Gamma-glutamylaminecyclotransferase (GGACT) (EC 4.3.2.8) (AIG2-like domain-containing protein 1) (Gamma-glutamylamine cyclotransferase),Ggact A2ld1,Mus musculus (Mouse),149
Sepp1,P70274,SEPP1_MOUSE,reviewed,Selenoprotein P (SeP) (Plasma selenoprotein P),Selenop Selp Sepp1,Mus musculus (Mouse),380
Oxct1,Q9D0K2,SCOT1_MOUSE,reviewed,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s)",Oxct1 Oxct Scot,Mus musculus (Mouse),520
Ttc33,Q9D6K7,TTC33_MOUSE,reviewed,Tetratricopeptide repeat protein 33 (TPR repeat protein 33),Ttc33,Mus musculus (Mouse),262
Rictor,Q6QI06,RICTR_MOUSE,reviewed,Rapamycin-insensitive companion of mTOR (AVO3 homolog) (mAVO3) (Protein pianissimo),Rictor Kiaa1999,Mus musculus (Mouse),1708
Nup155,Q99P88,NU155_MOUSE,reviewed,Nuclear pore complex protein Nup155 (155 kDa nucleoporin) (Nucleoporin Nup155),Nup155,Mus musculus (Mouse),1391
Zfr,O88532,ZFR_MOUSE,reviewed,Zinc finger RNA-binding protein,Zfr,Mus musculus (Mouse),1074
Mtmr12,Q80TA6,MTMRC_MOUSE,reviewed,Myotubularin-related protein 12 (Inactive phosphatidylinositol 3-phosphatase 12),Mtmr12 Kiaa1682,Mus musculus (Mouse),747
Golph3,Q9CRA5,GOLP3_MOUSE,reviewed,Golgi phosphoprotein 3 (Coat protein GPP34),Golph3 Gpp34,Mus musculus (Mouse),298
Myo10,F8VQB6,MYO10_MOUSE,reviewed,Unconventional myosin-X (Unconventional myosin-10),Myo10,Mus musculus (Mouse),2062
Retreg1,Q8VE91,RETR1_MOUSE,reviewed,Reticulophagy regulator 1 (Reticulophagy receptor 1),Retreg1 Fam134b,Mus musculus (Mouse),480
Sema5a,Q62217,SEM5A_MOUSE,reviewed,Semaphorin-5A (Semaphorin-F) (Sema F),Sema5a Semaf SemF,Mus musculus (Mouse),1077
Cpq,Q9WVJ3,CBPQ_MOUSE,reviewed,Carboxypeptidase Q (EC 3.4.17.-) (Hematopoietic lineage switch 2) (Plasma glutamate carboxypeptidase),Cpq Hls2 Pgcp,Mus musculus (Mouse),470
Laptm4b,Q91XQ6,LAP4B_MOUSE,reviewed,Lysosomal-associated transmembrane protein 4B,Laptm4b,Mus musculus (Mouse),227
Grhl2,Q8K5C0,GRHL2_MOUSE,reviewed,Grainyhead-like protein 2 homolog (Brother of mammalian grainyhead) (Transcription factor CP2-like 3),Grhl2 Bom Tcfcp2l3,Mus musculus (Mouse),625
Fzd6,Q61089,FZD6_MOUSE,reviewed,Frizzled-6 (Fz-6) (mFz6),Fzd6,Mus musculus (Mouse),709
Dcaf13,Q6PAC3,DCA13_MOUSE,reviewed,DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1),Dcaf13 Gm83 Wdsof1,Mus musculus (Mouse),445
Mal2,Q8BI08,MAL2_MOUSE,reviewed,Protein MAL2,Mal2,Mus musculus (Mouse),175
Deptor,Q570Y9,DPTOR_MOUSE,reviewed,DEP domain-containing mTOR-interacting protein (DEP domain-containing protein 6),Deptor Depdc6 Kiaa4200,Mus musculus (Mouse),409
Zhx2,Q8C0C0,ZHX2_MOUSE,reviewed,Zinc fingers and homeoboxes protein 2 (Alpha-fetoprotein regulator 1) (AFP regulator 1) (Regulator of AFP) (Zinc finger and homeodomain protein 2),Zhx2 Afr1 Raf,Mus musculus (Mouse),836
Rnf139,Q7TMV1,RN139_MOUSE,reviewed,E3 ubiquitin-protein ligase RNF139 (EC 2.3.2.27) (RING finger protein 139) (RING-type E3 ubiquitin transferase RNF139) (Translocation in renal carcinoma on chromosome 8 protein),Rnf139,Mus musculus (Mouse),668
Sqle,P52019,ERG1_MOUSE,reviewed,Squalene monooxygenase (EC 1.14.14.17) (Squalene epoxidase) (SE),Sqle Erg1,Mus musculus (Mouse),572
Nsmce2,Q91VT1,NSE2_MOUSE,reviewed,E3 SUMO-protein ligase NSE2 (EC 2.3.2.-) (E3 SUMO-protein transferase NSE2) (MMS21 homolog) (Non-structural maintenance of chromosomes element 2 homolog) (Non-SMC element 2 homolog),Nsmce2 Mms21,Mus musculus (Mouse),247
Trib1,Q8K4K4,TRIB1_MOUSE,reviewed,Tribbles homolog 1 (TRB-1),Trib1 Trb1,Mus musculus (Mouse),372
Myc,P01108,MYC_MOUSE,reviewed,Myc proto-oncogene protein (Proto-oncogene c-Myc) (Transcription factor p64),Myc,Mus musculus (Mouse),439
Phf20l1,Q8CCJ9,P20L1_MOUSE,reviewed,PHD finger protein 20-like protein 1,Phf20l1,Mus musculus (Mouse),1013
Ptp4a3,Q9D658,TP4A3_MOUSE,reviewed,Protein tyrosine phosphatase type IVA 3 (EC 3.1.3.48) (Protein-tyrosine phosphatase 4a3) (Protein-tyrosine phosphatase of regenerating liver 3) (PRL-3),Ptp4a3 Prl3,Mus musculus (Mouse),173
Ly6e,Q64253,LY6E_MOUSE,reviewed,Lymphocyte antigen 6E (Ly-6E) (Stem cell antigen 2) (Thymic shared antigen 1) (TSA-1),Ly6e Ly67 Sca-2 Tsa-1,Mus musculus (Mouse),136
Ly6g,P35461,LY6G_MOUSE,reviewed,Lymphocyte antigen 6G (Ly-6G) (Ly-6G.1),Ly6g,Mus musculus (Mouse),134
Gsdmd,Q9D8T2,GSDMD_MOUSE,reviewed,"Gasdermin-D (Gasdermin domain-containing protein 1) [Cleaved into: Gasdermin-D, N-terminal (GSDMD-NT) (mGSDMD-NTD) (p30); Gasdermin-D, C-terminal (GSDMD-CT) (mGSDMD-CTD) (p20)]",Gsdmd Gsdmdc1,Mus musculus (Mouse),487
Tigd5,Q499M4,TIGD5_MOUSE,reviewed,Tigger transposable element derived 5,Tigd5,Mus musculus (Mouse),642
Nol12,Q8BG17,NOL12_MOUSE,reviewed,Nucleolar protein 12 (Nucleolar protein of 25 kDa),Nol12 Nop25,Mus musculus (Mouse),217
Triobp,Q99KW3,TARA_MOUSE,reviewed,TRIO and F-actin-binding protein (Protein Tara) (Trio-associated repeat on actin),Triobp Kiaa1662 Tara,Mus musculus (Mouse),2014
H1f0,P10922,H10_MOUSE,reviewed,"Histone H1.0 (Histone H1') (Histone H1(0)) (MyD196) [Cleaved into: Histone H1.0, N-terminally processed]",H1-0 H1f0 H1fv,Mus musculus (Mouse),194
Tomm22,Q9CPQ3,TOM22_MOUSE,reviewed,Mitochondrial import receptor subunit TOM22 homolog (Translocase of outer membrane 22 kDa subunit homolog),Tomm22 Tom22,Mus musculus (Mouse),142
Gtpbp1,O08582,GTPB1_MOUSE,reviewed,GTP-binding protein 1 (G-protein 1) (GP-1) (GP1),Gtpbp1 Gtpbp,Mus musculus (Mouse),668
Apobec3,Q99J72,ABEC3_MOUSE,reviewed,DNA dC->dU-editing enzyme APOBEC-3 (EC 3.5.4.38) (Apolipoprotein B mRNA-editing complex 3) (Arp3) (CEM-15) (CEM15),Apobec3,Mus musculus (Mouse),440
Mgat3,Q10470,MGAT3_MOUSE,reviewed,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase (EC 2.4.1.144) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III) (GNT-III) (GlcNAc-T III) (N-acetylglucosaminyltransferase III)",Mgat3,Mus musculus (Mouse),538
Atf4,Q06507,ATF4_MOUSE,reviewed,Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (C/EBP-related ATF) (C/ATF) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2),Atf4 Creb2,Mus musculus (Mouse),349
Tnrc6b,Q8BKI2,TNR6B_MOUSE,reviewed,Trinucleotide repeat-containing gene 6B protein,Tnrc6b Kiaa1093,Mus musculus (Mouse),1810
Sgsm3,Q8VCZ6,SGSM3_MOUSE,reviewed,Small G protein signaling modulator 3 (RUN and TBC1 domain-containing protein 3),Sgsm3 Cip85 Rutbc3,Mus musculus (Mouse),750
Rbx1,P62878,RBX1_MOUSE,reviewed,"E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (RING finger protein 75) (RING-box protein 1) (Rbx1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed]",Rbx1,Mus musculus (Mouse),108
Ep300,B2RWS6,EP300_MOUSE,reviewed,Histone acetyltransferase p300 (p300 HAT) (EC 2.3.1.48) (E1A-associated protein p300) (Histone butyryltransferase p300) (EC 2.3.1.-) (Histone crotonyltransferase p300) (EC 2.3.1.-) (Protein 2-hydroxyisobutyryltransferase p300) (EC 2.3.1.-) (Protein propionyltransferase p300) (EC 2.3.1.-),Ep300 P300,Mus musculus (Mouse),2412
Tef,Q9JLC6,TEF_MOUSE,reviewed,Thyrotroph embryonic factor,Tef,Mus musculus (Mouse),301
Aco2,Q99KI0,ACON_MOUSE,reviewed,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",Aco2,Mus musculus (Mouse),780
Srebf2,Q3U1N2,SRBP2_MOUSE,reviewed,Sterol regulatory element-binding protein 2 (SREBP-2) (Sterol regulatory element-binding transcription factor 2) [Cleaved into: Processed sterol regulatory element-binding protein 2 (Transcription factor SREBF2)],Srebf2 Srebp2,Mus musculus (Mouse),1130
Bik,O70337,BIK_MOUSE,reviewed,Bcl-2-interacting killer (Apoptosis inducer NBK) (Bik-like killer protein),Bik Biklk Blk Nbk,Mus musculus (Mouse),150
Prr5,Q812A5,PRR5_MOUSE,reviewed,Proline-rich protein 5 (Protein observed with Rictor-1) (Protor-1),Prr5 Protor1,Mus musculus (Mouse),387
Tbc1d22a,Q8R5A6,TB22A_MOUSE,reviewed,TBC1 domain family member 22A,Tbc1d22a D15Ertd781e,Mus musculus (Mouse),516
Creld2,Q9CYA0,CREL2_MOUSE,reviewed,Protein disulfide isomerase Creld2 (EC 5.3.4.1) (Cysteine-rich with EGF-like domain protein 2),Creld2,Mus musculus (Mouse),350
Pim3,P58750,PIM3_MOUSE,reviewed,Serine/threonine-protein kinase pim-3 (EC 2.7.11.1),Pim3,Mus musculus (Mouse),326
Trabd,Q99JY4,TRABD_MOUSE,reviewed,TraB domain-containing protein,Trabd,Mus musculus (Mouse),376
Selo,Q9DBC0,SELO_MOUSE,reviewed,"Protein adenylyltransferase SelO, mitochondrial (EC 2.7.7.-) (EC 2.7.7.n1) (Selenoprotein O) (SelO)",Selenoo Selo,Mus musculus (Mouse),667
Ncaph2,Q8BSP2,CNDH2_MOUSE,reviewed,Condensin-2 complex subunit H2 (Kleisin-beta) (Non-SMC condensin II complex subunit H2),Ncaph2 D15Ertd785e,Mus musculus (Mouse),607
Alg10b,Q3UGP8,AG10B_MOUSE,reviewed,"Putative Dol-P-Glc:Glc(2)Man(9)GlcNAc(2)-PP-Dol alpha-1,2-glucosyltransferase (EC 2.4.1.256) (Alpha-1,2-glucosyltransferase ALG10-A) (Alpha-2-glucosyltransferase ALG10-B) (Asparagine-linked glycosylation protein 10 homolog B)",Alg10b,Mus musculus (Mouse),474
Arid2,E9Q7E2,ARID2_MOUSE,reviewed,AT-rich interactive domain-containing protein 2 (ARID domain-containing protein 2) (BRG1-associated factor 200) (BAF200) (Zinc finger protein with activation potential) (Zipzap/p200),Arid2 Baf200,Mus musculus (Mouse),1828
Tuba1c,P68373,TBA1C_MOUSE,reviewed,Tubulin alpha-1C chain (Alpha-tubulin 6) (Alpha-tubulin isotype M-alpha-6) (Tubulin alpha-6 chain) [Cleaved into: Detyrosinated tubulin alpha-1C chain],Tuba1c Tuba6,Mus musculus (Mouse),449
Dnajc22,Q8CHS2,DJC22_MOUSE,reviewed,DnaJ homolog subfamily C member 22,Dnajc22,Mus musculus (Mouse),339
Tmbim6,Q9D2C7,BI1_MOUSE,reviewed,Bax inhibitor 1 (BI-1) (Testis-enhanced gene transcript protein) (Transmembrane BAX inhibitor motif-containing protein 6),Tmbim6 Tegt,Mus musculus (Mouse),237
Smarcd1,Q61466,SMRD1_MOUSE,reviewed,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (60 kDa BRG-1/Brm-associated factor subunit A) (BRG1-associated factor 60A) (BAF60A) (Protein D15KZ1) (SWI/SNF complex 60 kDa subunit),Smarcd1 Baf60a D15Kz1,Mus musculus (Mouse),515
Dip2b,Q3UH60,DIP2B_MOUSE,reviewed,Disco-interacting protein 2 homolog B (DIP2 homolog B),Dip2b Kiaa1463,Mus musculus (Mouse),1574
